Id;Default;En
1;DOUCHE BONDE OUVERTE ET TEMPO;SHOWER WITH DRAIN AND DELAY
2;DOUCHE BONDE FERMEE ET TEMPO;SHOWER WITHOUT DRAIN AND DELAY
3;DOUCHETTE;CLEANING
4;LAVABO BONDE OUVERTE ET TEMPO;SINK WITH DRAIN AND DELAY
5;LAVABO BONDE FERMEE ET TEMPO;SINK WITHOUT DRAIN AND DELAY
6;PRISE ELECTRIQUE;PLUG ACTIVATE
7;VIDANGE(S);OPENED DRAIN
8;NEUTRE;NEUTRAL
9;CHASSE D EAU GRAND VOLUME;LARGE VOLUME TOILET FLUSH
10;DEPOLLUTION;DECONTAMINATION
11;NEUTRE AVEC BAS DEBIT;NEUTRAL WITH LOW FLOW
12;DOUCHE BONDE OUVERTE ET VOLUME;SHOWER WITH DRAIN AND VOLUME
13;DOUCHE BONDE FERMEE ET VOLUME;SHOWER WITHOUT DRAIN AND VOLUME
14;LAVABO BONDE OUVERTE ET VOLUME;SINK WITH DRAIN AND VOLUME
15;LAVABO BONDE FERMEE ET VOLUME;SINK WITHOUT DRAIN AND VOLUME
16;DOUCHE BONDE OUVERTE ET BOUTON;SHOWER WITH DRAIN AND BUTTON
17;LAVABO BONDE OUVERTE ET BOUTON;SINK WITH DRAIN AND BUTTON
18;LAVAGE CHAUD;HOT CLEANING
19;LAVAGE FROID;COLD CLEANING
20;MODE PARAMETRABLE;PARAMETER MODE
21;ALERTE PREPARATEUR;PREPARATOR ALERT
22;ALERTE EVALUATEUR;EVALUATOR ALERT
23;EVALUATION;EVALUATION
24;EVALUATION AVEC AIR;EVALUATION WITH AIR FLOW
25;MISE EN CONDITION;CONDITIONING BOOTH
26;CHASSE D EAU PETIT VOLUME;SMALL VOLUME TOILET FLUSH
27;LAVAGE NEP;CLEANING
28;CABINE EN CONDITION;BOOTH IN CONDITION
29;LIBRE;EMPTY
30;MODE TEXTE;TEXT MODE
0;;
;;
